account,date,fraud,merchant
A30,01/01/2015,FALSE,M22
A30,01/01/2015,FALSE,M93
A30,01/01/2015,FALSE,M27
A30,01/01/2015,FALSE,M76
A30,01/01/2015,FALSE,M70
A31,01/01/2015,FALSE,M9
A31,01/01/2015,FALSE,M81
A31,01/01/2015,FALSE,M55
A32,01/01/2015,FALSE,M74
A32,01/01/2015,FALSE,M83
A33,01/01/2015,FALSE,M14
A34,01/01/2015,FALSE,M28
A34,01/01/2015,FALSE,M58
A34,01/01/2015,FALSE,M44
A34,01/01/2015,FALSE,M11
A34,01/01/2015,FALSE,M56
A34,01/01/2015,FALSE,M72
A34,01/01/2015,FALSE,M13
A35,01/01/2015,FALSE,M37
A35,01/01/2015,FALSE,M12
A35,01/01/2015,FALSE,M18
A35,01/01/2015,FALSE,M97
A36,01/01/2015,FALSE,M18
A36,01/01/2015,FALSE,M45
A36,01/01/2015,FALSE,M48
A36,01/01/2015,FALSE,M93
A36,01/01/2015,FALSE,M62
A36,01/01/2015,FALSE,M14
A36,01/01/2015,FALSE,M60
A36,01/01/2015,FALSE,M36
A37,01/01/2015,FALSE,M98
A37,01/01/2015,FALSE,M44
A37,01/01/2015,FALSE,M1
A37,01/01/2015,FALSE,M14
A38,01/01/2015,FALSE,M16
A38,01/01/2015,FALSE,M6
A38,01/01/2015,FALSE,M44
A39,01/01/2015,FALSE,M26
A39,01/01/2015,FALSE,M85
A39,01/01/2015,FALSE,M75
A39,01/01/2015,FALSE,M77
A40,01/01/2015,FALSE,M98
A40,01/01/2015,FALSE,M23
A40,01/01/2015,FALSE,M74
A40,01/01/2015,FALSE,M59
A40,01/01/2015,FALSE,M1
A41,01/01/2015,FALSE,M46
A42,01/01/2015,FALSE,M15
A42,01/01/2015,FALSE,M13
A43,01/01/2015,FALSE,M89
A43,01/01/2015,FALSE,M79
A43,01/01/2015,FALSE,M11
A43,01/01/2015,FALSE,M76
A44,01/01/2015,FALSE,M79
A44,01/01/2015,FALSE,M24
A44,01/01/2015,FALSE,M10
A44,01/01/2015,FALSE,M77
A45,01/01/2015,FALSE,M34
A45,01/01/2015,FALSE,M14
A45,01/01/2015,FALSE,M96
A45,01/01/2015,FALSE,M26
A46,01/01/2015,FALSE,M20
A46,01/01/2015,FALSE,M76
A46,01/01/2015,FALSE,M5
A46,01/01/2015,FALSE,M56
A47,01/01/2015,FALSE,M0
A47,01/01/2015,FALSE,M7
A47,01/01/2015,FALSE,M48
A47,01/01/2015,FALSE,M55
A47,01/01/2015,FALSE,M34
A47,01/01/2015,FALSE,M37
A48,01/01/2015,FALSE,M50
A48,01/01/2015,FALSE,M3
A48,01/01/2015,FALSE,M30
A49,01/01/2015,FALSE,M22
A49,01/01/2015,FALSE,M53
A49,01/01/2015,FALSE,M45
A49,01/01/2015,FALSE,M78
A49,01/01/2015,FALSE,M27
A51,01/01/2015,FALSE,M66
A51,01/01/2015,FALSE,M2
A51,01/01/2015,FALSE,M43
A51,01/01/2015,FALSE,M63
A51,01/01/2015,FALSE,M6
A51,01/01/2015,FALSE,M45
A52,01/01/2015,FALSE,M83
A52,01/01/2015,FALSE,M74
A53,01/01/2015,FALSE,M79
A53,01/01/2015,FALSE,M36
A53,01/01/2015,FALSE,M46
A53,01/01/2015,FALSE,M16
A53,01/01/2015,FALSE,M43
A53,01/01/2015,FALSE,M51
A54,01/01/2015,FALSE,M31
A54,01/01/2015,FALSE,M95
A55,01/01/2015,FALSE,M27
A55,01/01/2015,FALSE,M31
A56,01/01/2015,FALSE,M78
A56,01/01/2015,FALSE,M35
A56,01/01/2015,FALSE,M28
A56,01/01/2015,FALSE,M42
A56,01/01/2015,FALSE,M5
A57,01/01/2015,FALSE,M60
A57,01/01/2015,FALSE,M43
A58,01/01/2015,FALSE,M89
A59,01/01/2015,FALSE,M36
A59,01/01/2015,FALSE,M95
A59,01/01/2015,FALSE,M39
A59,01/01/2015,FALSE,M51
A59,01/01/2015,FALSE,M0
A60,01/01/2015,FALSE,M10
A60,01/01/2015,FALSE,M96
A60,01/01/2015,FALSE,M12
A60,01/01/2015,FALSE,M35
A61,01/01/2015,FALSE,M61
A61,01/01/2015,FALSE,M94
A62,01/01/2015,FALSE,M70
A63,01/01/2015,FALSE,M5
A63,01/01/2015,FALSE,M80
A63,01/01/2015,FALSE,M23
A63,01/01/2015,FALSE,M97
A63,01/01/2015,FALSE,M83
A64,01/01/2015,FALSE,M26
A64,01/01/2015,FALSE,M43
A64,01/01/2015,FALSE,M19
A65,01/01/2015,FALSE,M64
A65,01/01/2015,FALSE,M42
A65,01/01/2015,FALSE,M22
A65,01/01/2015,FALSE,M55
A66,01/01/2015,FALSE,M87
A66,01/01/2015,FALSE,M87
A66,01/01/2015,FALSE,M47
A67,01/01/2015,FALSE,M0
A67,01/01/2015,FALSE,M1
A67,01/01/2015,FALSE,M91
A67,01/01/2015,FALSE,M25
A67,01/01/2015,FALSE,M62
A68,01/01/2015,FALSE,M67
A68,01/01/2015,FALSE,M16
A68,01/01/2015,FALSE,M26
A68,01/01/2015,FALSE,M36
A69,01/01/2015,FALSE,M3
A71,01/01/2015,FALSE,M14
A72,01/01/2015,FALSE,M93
A74,01/01/2015,FALSE,M31
A74,01/01/2015,FALSE,M97
A75,01/01/2015,FALSE,M60
A75,01/01/2015,FALSE,M52
A75,01/01/2015,FALSE,M67
A76,01/01/2015,FALSE,M49
A76,01/01/2015,FALSE,M91
A76,01/01/2015,FALSE,M60
A77,01/01/2015,FALSE,M73
A77,01/01/2015,FALSE,M17
A77,01/01/2015,FALSE,M95
A77,01/01/2015,FALSE,M65
A78,01/01/2015,FALSE,M48
A79,01/01/2015,FALSE,M14
A79,01/01/2015,FALSE,M85
A79,01/01/2015,FALSE,M39
A79,01/01/2015,FALSE,M20
A80,01/01/2015,FALSE,M61
A80,01/01/2015,FALSE,M96
A80,01/01/2015,FALSE,M85
A80,01/01/2015,FALSE,M44
A80,01/01/2015,FALSE,M9
A81,01/01/2015,FALSE,M49
A81,01/01/2015,TRUE,M69
A81,01/01/2015,FALSE,M47
A81,01/01/2015,FALSE,M90
A82,01/01/2015,FALSE,M61
A82,01/01/2015,FALSE,M56
A83,01/01/2015,FALSE,M89
A83,01/01/2015,FALSE,M97
A84,01/01/2015,FALSE,M37
A85,01/01/2015,FALSE,M50
A86,01/01/2015,FALSE,M51
A86,01/01/2015,FALSE,M84
A86,01/01/2015,FALSE,M6
A86,01/01/2015,FALSE,M11
A86,01/01/2015,FALSE,M88
A86,01/01/2015,FALSE,M96
A86,01/01/2015,FALSE,M44
A88,01/01/2015,FALSE,M44
A88,01/01/2015,FALSE,M86
A88,01/01/2015,FALSE,M83
A88,01/01/2015,FALSE,M95
A88,01/01/2015,FALSE,M37
A89,01/01/2015,FALSE,M36
A89,01/01/2015,FALSE,M41
A89,01/01/2015,FALSE,M33
A91,01/01/2015,FALSE,M85
A92,01/01/2015,FALSE,M56
A92,01/01/2015,FALSE,M81
A92,01/01/2015,FALSE,M30
A93,01/01/2015,FALSE,M50
A93,01/01/2015,FALSE,M18
A93,01/01/2015,FALSE,M84
A94,01/01/2015,FALSE,M81
A94,01/01/2015,FALSE,M29
A94,01/01/2015,FALSE,M36
A94,01/01/2015,FALSE,M62
A94,01/01/2015,FALSE,M71
A94,01/01/2015,FALSE,M35
A95,01/01/2015,FALSE,M43
A95,01/01/2015,FALSE,M48
A96,01/01/2015,FALSE,M71
A96,01/01/2015,FALSE,M36
A96,01/01/2015,FALSE,M92
A97,01/01/2015,FALSE,M90
A98,01/01/2015,FALSE,M51
A98,01/01/2015,FALSE,M42
A98,01/01/2015,FALSE,M44
A98,01/01/2015,FALSE,M54
A99,01/01/2015,FALSE,M23
A100,01/01/2015,FALSE,M16
A100,01/01/2015,FALSE,M10
A100,01/01/2015,FALSE,M25
A100,01/01/2015,FALSE,M71
A100,01/01/2015,FALSE,M70
A100,01/01/2015,FALSE,M90
A101,01/01/2015,FALSE,M39
A101,01/01/2015,FALSE,M12
A101,01/01/2015,FALSE,M82
A101,01/01/2015,FALSE,M96
A101,01/01/2015,FALSE,M70
A102,01/01/2015,FALSE,M5
A102,01/01/2015,FALSE,M93
A102,01/01/2015,FALSE,M8
A102,01/01/2015,FALSE,M58
A102,01/01/2015,FALSE,M94
A104,01/01/2015,FALSE,M73
A104,01/01/2015,FALSE,M69
A105,01/01/2015,FALSE,M95
A105,01/01/2015,FALSE,M99
A105,01/01/2015,FALSE,M11
A105,01/01/2015,FALSE,M55
A106,01/01/2015,FALSE,M13
A106,01/01/2015,FALSE,M78
A106,01/01/2015,FALSE,M58
A106,01/01/2015,FALSE,M23
A107,01/01/2015,FALSE,M90
A107,01/01/2015,FALSE,M7
A107,01/01/2015,FALSE,M83
A107,01/01/2015,FALSE,M69
A107,01/01/2015,FALSE,M43
A107,01/01/2015,FALSE,M95
A108,01/01/2015,FALSE,M11
A108,01/01/2015,FALSE,M93
A108,01/01/2015,FALSE,M78
A109,01/01/2015,FALSE,M32
A109,01/01/2015,FALSE,M49
A109,01/01/2015,FALSE,M50
A110,01/01/2015,FALSE,M1
A110,01/01/2015,FALSE,M23
A110,01/01/2015,FALSE,M0
A110,01/01/2015,FALSE,M53
A111,01/01/2015,FALSE,M85
A111,01/01/2015,FALSE,M39
A112,01/01/2015,FALSE,M18
A112,01/01/2015,FALSE,M7
A112,01/01/2015,FALSE,M12
A113,01/01/2015,FALSE,M90
A114,01/01/2015,FALSE,M36
A114,01/01/2015,FALSE,M95
A114,01/01/2015,FALSE,M24
A115,01/01/2015,FALSE,M88
A115,01/01/2015,FALSE,M74
A115,01/01/2015,FALSE,M98
A115,01/01/2015,FALSE,M44
A116,01/01/2015,FALSE,M86
A116,01/01/2015,FALSE,M87
A116,01/01/2015,FALSE,M89
A116,01/01/2015,FALSE,M95
A117,01/01/2015,FALSE,M38
A117,01/01/2015,FALSE,M8
A117,01/01/2015,FALSE,M70
A117,01/01/2015,FALSE,M48
A118,01/01/2015,FALSE,M4
A118,01/01/2015,FALSE,M93
A118,01/01/2015,FALSE,M67
A118,01/01/2015,FALSE,M98
A119,01/01/2015,FALSE,M96
A119,01/01/2015,FALSE,M93
A119,01/01/2015,FALSE,M70
A119,01/01/2015,FALSE,M58
A120,01/01/2015,FALSE,M21
A120,01/01/2015,FALSE,M2
A121,01/01/2015,FALSE,M3
A122,01/01/2015,FALSE,M62
A122,01/01/2015,FALSE,M80
A122,01/01/2015,FALSE,M46
A123,01/01/2015,FALSE,M94
A123,01/01/2015,FALSE,M13
A124,01/01/2015,FALSE,M80
A124,01/01/2015,FALSE,M20
A124,01/01/2015,FALSE,M59
A124,01/01/2015,FALSE,M54
A124,01/01/2015,FALSE,M96
A125,01/01/2015,FALSE,M86
A125,01/01/2015,FALSE,M32
A125,01/01/2015,FALSE,M24
A126,01/01/2015,FALSE,M13
A126,01/01/2015,FALSE,M26
A126,01/01/2015,FALSE,M66
A127,01/01/2015,FALSE,M24
A127,01/01/2015,FALSE,M51
A127,01/01/2015,FALSE,M63
A128,01/01/2015,FALSE,M5
A128,01/01/2015,FALSE,M45
A128,01/01/2015,FALSE,M46
A128,01/01/2015,FALSE,M4
A129,01/01/2015,FALSE,M22
A129,01/01/2015,FALSE,M1
A130,01/01/2015,FALSE,M35
A130,01/01/2015,FALSE,M86
A130,01/01/2015,FALSE,M80
A131,01/01/2015,FALSE,M68
A131,01/01/2015,FALSE,M36
A131,01/01/2015,FALSE,M19
A131,01/01/2015,FALSE,M94
A131,01/01/2015,FALSE,M90
A132,01/01/2015,FALSE,M79
A133,01/01/2015,FALSE,M31
A133,01/01/2015,TRUE,M81
A133,01/01/2015,FALSE,M74
A133,01/01/2015,FALSE,M77
A133,01/01/2015,FALSE,M23
A134,01/01/2015,FALSE,M37
A134,01/01/2015,FALSE,M30
A134,01/01/2015,FALSE,M4
A134,01/01/2015,FALSE,M40
A134,01/01/2015,FALSE,M23
A135,01/01/2015,FALSE,M37
A136,01/01/2015,FALSE,M73
A136,01/01/2015,FALSE,M62
A136,01/01/2015,FALSE,M46
A136,01/01/2015,FALSE,M10
A137,01/01/2015,FALSE,M31
A137,01/01/2015,FALSE,M54
A137,01/01/2015,FALSE,M82
A137,01/01/2015,FALSE,M12
A137,01/01/2015,TRUE,M80
A139,01/01/2015,FALSE,M22
A140,01/01/2015,FALSE,M4
A140,01/01/2015,FALSE,M79
A140,01/01/2015,FALSE,M87
A140,01/01/2015,FALSE,M61
A141,01/01/2015,FALSE,M70
A141,01/01/2015,FALSE,M93
A141,01/01/2015,FALSE,M83
A141,01/01/2015,FALSE,M67
A142,01/01/2015,FALSE,M3
A142,01/01/2015,FALSE,M52
A142,01/01/2015,FALSE,M9
A143,01/01/2015,FALSE,M24
A143,01/01/2015,FALSE,M42
A143,01/01/2015,FALSE,M24
A143,01/01/2015,FALSE,M41
A144,01/01/2015,FALSE,M21
A144,01/01/2015,FALSE,M58
A144,01/01/2015,FALSE,M62
A144,01/01/2015,FALSE,M53
A144,01/01/2015,FALSE,M60
A145,01/01/2015,FALSE,M44
A146,01/01/2015,FALSE,M95
A146,01/01/2015,FALSE,M63
A146,01/01/2015,FALSE,M16
A146,01/01/2015,FALSE,M69
A146,01/01/2015,FALSE,M69
A147,01/01/2015,FALSE,M33
A147,01/01/2015,FALSE,M91
A147,01/01/2015,TRUE,M23
A148,01/01/2015,FALSE,M65
A148,01/01/2015,FALSE,M67
A148,01/01/2015,FALSE,M86
A148,01/01/2015,FALSE,M16
A148,01/01/2015,FALSE,M85
A148,01/01/2015,FALSE,M36
A149,01/01/2015,FALSE,M75
A149,01/01/2015,FALSE,M40
A150,01/01/2015,FALSE,M34
A151,01/01/2015,FALSE,M33
A151,01/01/2015,FALSE,M76
A151,01/01/2015,FALSE,M91
A151,01/01/2015,FALSE,M67
A152,01/01/2015,FALSE,M90
A152,01/01/2015,FALSE,M76
A153,01/01/2015,FALSE,M14
A153,01/01/2015,FALSE,M59
A153,01/01/2015,FALSE,M81
A153,01/01/2015,FALSE,M34
A154,01/01/2015,FALSE,M22
A154,01/01/2015,FALSE,M69
A154,01/01/2015,FALSE,M9
A154,01/01/2015,FALSE,M77
A154,01/01/2015,FALSE,M71
A155,01/01/2015,FALSE,M71
A155,01/01/2015,FALSE,M67
A155,01/01/2015,FALSE,M11
A155,01/01/2015,FALSE,M30
A155,01/01/2015,FALSE,M58
A155,01/01/2015,FALSE,M80
A155,01/01/2015,FALSE,M13
A155,01/01/2015,FALSE,M0
A155,01/01/2015,FALSE,M31
A155,01/01/2015,FALSE,M2
A156,01/01/2015,FALSE,M80
A156,01/01/2015,FALSE,M6
A156,01/01/2015,FALSE,M23
A156,01/01/2015,FALSE,M60
A156,01/01/2015,FALSE,M39
A157,01/01/2015,FALSE,M26
A157,01/01/2015,FALSE,M24
A157,01/01/2015,FALSE,M38
A157,01/01/2015,FALSE,M57
A158,01/01/2015,FALSE,M79
A159,01/01/2015,FALSE,M12
A159,01/01/2015,FALSE,M52
A160,01/01/2015,FALSE,M7
A160,01/01/2015,FALSE,M70
A161,01/01/2015,FALSE,M76
A161,01/01/2015,FALSE,M6
A161,01/01/2015,FALSE,M5
A161,01/01/2015,FALSE,M60
A162,01/01/2015,FALSE,M76
A162,01/01/2015,FALSE,M27
A162,01/01/2015,FALSE,M17
A163,01/01/2015,FALSE,M24
A163,01/01/2015,FALSE,M39
A163,01/01/2015,FALSE,M12
A163,01/01/2015,FALSE,M98
A163,01/01/2015,FALSE,M51
A166,01/01/2015,FALSE,M91
A166,01/01/2015,FALSE,M71
A167,01/01/2015,FALSE,M78
A167,01/01/2015,FALSE,M52
A168,01/01/2015,FALSE,M49
A168,01/01/2015,FALSE,M64
A168,01/01/2015,FALSE,M54
A168,01/01/2015,FALSE,M6
A168,01/01/2015,FALSE,M93
A169,01/01/2015,FALSE,M65
A169,01/01/2015,FALSE,M4
A169,01/01/2015,FALSE,M13
A169,01/01/2015,FALSE,M35
A170,01/01/2015,FALSE,M26
A170,01/01/2015,FALSE,M23
A171,01/01/2015,FALSE,M64
A171,01/01/2015,FALSE,M86
A171,01/01/2015,FALSE,M37
A172,01/01/2015,FALSE,M26
A173,01/01/2015,FALSE,M58
A173,01/01/2015,TRUE,M78
A173,01/01/2015,FALSE,M3
A173,01/01/2015,FALSE,M32
A173,01/01/2015,FALSE,M89
A173,01/01/2015,FALSE,M98
A173,01/01/2015,FALSE,M59
A173,01/01/2015,FALSE,M90
A173,01/01/2015,FALSE,M47
A174,01/01/2015,FALSE,M36
A174,01/01/2015,FALSE,M48
A175,01/01/2015,FALSE,M65
A176,01/01/2015,FALSE,M1
A176,01/01/2015,FALSE,M46
A176,01/01/2015,FALSE,M18
A176,01/01/2015,FALSE,M14
A176,01/01/2015,FALSE,M48
A176,01/01/2015,FALSE,M32
A177,01/01/2015,FALSE,M11
A177,01/01/2015,FALSE,M4
A177,01/01/2015,FALSE,M89
A177,01/01/2015,FALSE,M14
A178,01/01/2015,FALSE,M25
A178,01/01/2015,FALSE,M30
A178,01/01/2015,FALSE,M24
A178,01/01/2015,FALSE,M82
A178,01/01/2015,FALSE,M40
A178,01/01/2015,FALSE,M98
A179,01/01/2015,FALSE,M36
A179,01/01/2015,FALSE,M78
A179,01/01/2015,FALSE,M33
A179,01/01/2015,FALSE,M88
A179,01/01/2015,FALSE,M11
A179,01/01/2015,FALSE,M30
A180,01/01/2015,FALSE,M6
A180,01/01/2015,FALSE,M28
A180,01/01/2015,FALSE,M87
A180,01/01/2015,FALSE,M26
A180,01/01/2015,FALSE,M87
A180,01/01/2015,FALSE,M7
A182,01/01/2015,FALSE,M98
A182,01/01/2015,FALSE,M25
A182,01/01/2015,FALSE,M89
A182,01/01/2015,FALSE,M61
A182,01/01/2015,FALSE,M36
A183,01/01/2015,FALSE,M98
A183,01/01/2015,FALSE,M62
A184,01/01/2015,FALSE,M32
A184,01/01/2015,FALSE,M39
A184,01/01/2015,FALSE,M98
A184,01/01/2015,FALSE,M31
A185,01/01/2015,FALSE,M15
A185,01/01/2015,FALSE,M36
A185,01/01/2015,FALSE,M7
A186,01/01/2015,FALSE,M28
A186,01/01/2015,FALSE,M92
A186,01/01/2015,FALSE,M23
A186,01/01/2015,FALSE,M54
A186,01/01/2015,FALSE,M55
A187,01/01/2015,FALSE,M7
A187,01/01/2015,FALSE,M49
A188,01/01/2015,FALSE,M28
A188,01/01/2015,FALSE,M72
A188,01/01/2015,FALSE,M97
A188,01/01/2015,FALSE,M46
A189,01/01/2015,FALSE,M15
A189,01/01/2015,FALSE,M82
A189,01/01/2015,FALSE,M90
A189,01/01/2015,FALSE,M74
A189,01/01/2015,FALSE,M93
A189,01/01/2015,FALSE,M8
A189,01/01/2015,FALSE,M11
A190,01/01/2015,FALSE,M34
A190,01/01/2015,FALSE,M6
A191,01/01/2015,FALSE,M40
A191,01/01/2015,FALSE,M86
A192,01/01/2015,FALSE,M31
A192,01/01/2015,FALSE,M44
A193,01/01/2015,FALSE,M6
A193,01/01/2015,FALSE,M54
A194,01/01/2015,FALSE,M46
A194,01/01/2015,FALSE,M45
A194,01/01/2015,FALSE,M86
A194,01/01/2015,FALSE,M22
A195,01/01/2015,FALSE,M73
A195,01/01/2015,FALSE,M87
A196,01/01/2015,FALSE,M82
A196,01/01/2015,FALSE,M40
A196,01/01/2015,FALSE,M5
A196,01/01/2015,FALSE,M93
A196,01/01/2015,FALSE,M19
A197,01/01/2015,FALSE,M18
A198,01/01/2015,FALSE,M93
A199,01/01/2015,FALSE,M10
A200,01/01/2015,FALSE,M96
A200,01/01/2015,FALSE,M96
A200,01/01/2015,FALSE,M64
A200,01/01/2015,FALSE,M94
A200,01/01/2015,FALSE,M64
A200,01/01/2015,FALSE,M72
A201,01/01/2015,FALSE,M69
A201,01/01/2015,FALSE,M55
A202,01/01/2015,FALSE,M56
A202,01/01/2015,FALSE,M20
A202,01/01/2015,FALSE,M86
A202,01/01/2015,FALSE,M35
A202,01/01/2015,FALSE,M44
A202,01/01/2015,FALSE,M24
A203,01/01/2015,FALSE,M33
A204,01/01/2015,TRUE,M79
A205,01/01/2015,FALSE,M52
A205,01/01/2015,FALSE,M34
A205,01/01/2015,FALSE,M26
A206,01/01/2015,FALSE,M52
A207,01/01/2015,FALSE,M5
A207,01/01/2015,FALSE,M1
A208,01/01/2015,FALSE,M68
A209,01/01/2015,FALSE,M81
A210,01/01/2015,FALSE,M67
A210,01/01/2015,FALSE,M6
A210,01/01/2015,FALSE,M55
A210,01/01/2015,FALSE,M37
A211,01/01/2015,FALSE,M70
A211,01/01/2015,FALSE,M78
A211,01/01/2015,FALSE,M95
A212,01/01/2015,FALSE,M7
A213,01/01/2015,FALSE,M28
A214,01/01/2015,FALSE,M7
A214,01/01/2015,FALSE,M37
A214,01/01/2015,FALSE,M40
A214,01/01/2015,FALSE,M21
A214,01/01/2015,FALSE,M23
A214,01/01/2015,FALSE,M34
A214,01/01/2015,FALSE,M47
A214,01/01/2015,FALSE,M9
A214,01/01/2015,FALSE,M96
A215,01/01/2015,FALSE,M45
A215,01/01/2015,FALSE,M39
A215,01/01/2015,FALSE,M98
A216,01/01/2015,FALSE,M32
A216,01/01/2015,FALSE,M49
A217,01/01/2015,FALSE,M5
A218,01/01/2015,FALSE,M38
A218,01/01/2015,TRUE,M70
A218,01/01/2015,FALSE,M18
A219,01/01/2015,FALSE,M38
A219,01/01/2015,FALSE,M63
A219,01/01/2015,FALSE,M25
A220,01/01/2015,FALSE,M86
A220,01/01/2015,FALSE,M48
A221,01/01/2015,FALSE,M76
A221,01/01/2015,FALSE,M79
A221,01/01/2015,FALSE,M22
A221,01/01/2015,FALSE,M53
A221,01/01/2015,TRUE,M31
A222,01/01/2015,FALSE,M81
A222,01/01/2015,FALSE,M29
A222,01/01/2015,FALSE,M17
A222,01/01/2015,FALSE,M47
A223,01/01/2015,FALSE,M55
A223,01/01/2015,FALSE,M91
A223,01/01/2015,FALSE,M82
A223,01/01/2015,FALSE,M51
A223,01/01/2015,FALSE,M5
A224,01/01/2015,FALSE,M9
A224,01/01/2015,FALSE,M38
A224,01/01/2015,FALSE,M13
A224,01/01/2015,FALSE,M56
A225,01/01/2015,FALSE,M60
A225,01/01/2015,FALSE,M76
A226,01/01/2015,FALSE,M16
A226,01/01/2015,FALSE,M8
A227,01/01/2015,FALSE,M72
A227,01/01/2015,FALSE,M67
A228,01/01/2015,FALSE,M85
A228,01/01/2015,FALSE,M5
A228,01/01/2015,FALSE,M82
A229,01/01/2015,FALSE,M28
A229,01/01/2015,FALSE,M64
A229,01/01/2015,FALSE,M53
A229,01/01/2015,FALSE,M1
A229,01/01/2015,FALSE,M10
A229,01/01/2015,FALSE,M79
A230,01/01/2015,FALSE,M94
A230,01/01/2015,FALSE,M78
A230,01/01/2015,TRUE,M88
A231,01/01/2015,FALSE,M82
A231,01/01/2015,FALSE,M27
A231,01/01/2015,FALSE,M54
A231,01/01/2015,FALSE,M69
A232,01/01/2015,FALSE,M94
A232,01/01/2015,FALSE,M15
A232,01/01/2015,FALSE,M58
A233,01/01/2015,FALSE,M87
A233,01/01/2015,FALSE,M96
A233,01/01/2015,FALSE,M77
A233,01/01/2015,FALSE,M43
A233,01/01/2015,FALSE,M73
A234,01/01/2015,FALSE,M72
A234,01/01/2015,FALSE,M88
A234,01/01/2015,FALSE,M25
A234,01/01/2015,FALSE,M50
A235,01/01/2015,FALSE,M86
A235,01/01/2015,FALSE,M12
A235,01/01/2015,FALSE,M50
A236,01/01/2015,FALSE,M25
A236,01/01/2015,FALSE,M36
A236,01/01/2015,FALSE,M8
A236,01/01/2015,FALSE,M65
A237,01/01/2015,FALSE,M92
A238,01/01/2015,FALSE,M25
A238,01/01/2015,FALSE,M61
A238,01/01/2015,FALSE,M13
A239,01/01/2015,FALSE,M59
A239,01/01/2015,FALSE,M38
A239,01/01/2015,FALSE,M92
A239,01/01/2015,FALSE,M51
A239,01/01/2015,FALSE,M9
A240,01/01/2015,FALSE,M83
A240,01/01/2015,FALSE,M95
A240,01/01/2015,FALSE,M55
A240,01/01/2015,FALSE,M80
A241,01/01/2015,FALSE,M45
A241,01/01/2015,FALSE,M15
A241,01/01/2015,FALSE,M50
A241,01/01/2015,FALSE,M50
A242,01/01/2015,FALSE,M4
A242,01/01/2015,FALSE,M50
